Series ID,Year,Period,Month,Value,Description
JTS00000000OSL,2007,M12,12,378,Other separations
JTS00000000OSL,2008,M01,1,295,Other separations
JTS00000000OSL,2008,M02,2,325,Other separations
JTS00000000OSL,2008,M03,3,366,Other separations
JTS00000000OSL,2008,M04,4,385,Other separations
JTS00000000OSL,2008,M05,5,285,Other separations
JTS00000000OSL,2008,M06,6,278,Other separations
JTS00000000OSL,2008,M07,7,272,Other separations
JTS00000000OSL,2008,M08,8,308,Other separations
JTS00000000OSL,2008,M09,9,344,Other separations
JTS00000000OSL,2008,M10,10,339,Other separations
JTS00000000OSL,2008,M11,11,382,Other separations
JTS00000000OSL,2008,M12,12,311,Other separations
JTS00000000OSL,2009,M01,1,332,Other separations
JTS00000000OSL,2009,M02,2,289,Other separations
JTS00000000OSL,2009,M03,3,319,Other separations
JTS00000000OSL,2009,M04,4,347,Other separations
JTS00000000OSL,2009,M05,5,286,Other separations
JTS00000000OSL,2009,M06,6,282,Other separations
JTS00000000OSL,2009,M07,7,276,Other separations
JTS00000000OSL,2009,M08,8,310,Other separations
JTS00000000OSL,2009,M09,9,323,Other separations
JTS00000000OSL,2009,M10,10,319,Other separations
JTS00000000OSL,2009,M11,11,259,Other separations
JTS00000000OSL,2009,M12,12,297,Other separations
JTS00000000OSL,2010,M01,1,310,Other separations
JTS00000000OSL,2010,M02,2,340,Other separations
JTS00000000OSL,2010,M03,3,315,Other separations
JTS00000000OSL,2010,M04,4,298,Other separations
JTS00000000OSL,2010,M05,5,326,Other separations
JTS00000000OSL,2010,M06,6,300,Other separations
JTS00000000OSL,2010,M07,7,321,Other separations
JTS00000000OSL,2010,M08,8,348,Other separations
JTS00000000OSL,2010,M09,9,335,Other separations
JTS00000000OSL,2010,M10,10,305,Other separations
JTS00000000OSL,2010,M11,11,336,Other separations
JTS00000000OSL,2010,M12,12,327,Other separations
JTS00000000OSL,2011,M01,1,334,Other separations
JTS00000000OSL,2011,M02,2,326,Other separations
JTS00000000OSL,2011,M03,3,317,Other separations
JTS00000000OSL,2011,M04,4,326,Other separations
JTS00000000OSL,2011,M05,5,341,Other separations
JTS00000000OSL,2011,M06,6,307,Other separations
JTS00000000OSL,2011,M07,7,327,Other separations
JTS00000000OSL,2011,M08,8,304,Other separations
JTS00000000OSL,2011,M09,9,307,Other separations
JTS00000000OSL,2011,M10,10,357,Other separations
JTS00000000OSL,2011,M11,11,314,Other separations
JTS00000000OSL,2011,M12,12,319,Other separations
JTS00000000OSL,2012,M01,1,322,Other separations
JTS00000000OSL,2012,M02,2,331,Other separations
JTS00000000OSL,2012,M03,3,355,Other separations
JTS00000000OSL,2012,M04,4,315,Other separations
JTS00000000OSL,2012,M05,5,328,Other separations
JTS00000000OSL,2012,M06,6,352,Other separations
JTS00000000OSL,2012,M07,7,372,Other separations
JTS00000000OSL,2012,M08,8,338,Other separations
JTS00000000OSL,2012,M09,9,337,Other separations
JTS00000000OSL,2012,M10,10,357,Other separations
JTS00000000OSL,2012,M11,11,350,Other separations
JTS00000000OSL,2012,M12,12,353,Other separations
JTS00000000OSL,2013,M01,1,390,Other separations
JTS00000000OSL,2013,M02,2,320,Other separations
